__________

- Ukraine: The deal was signed by EU leaders and European Parliament leaders.

- Russia: The EU is expected to provide some of this additional funding.

- Russia: The EU is committed to the deal.

- Ukraine: The Ukrainian government says the equipment is needed to support the counter-offensive.

- Ukraine: Ukraine says it will supply the artillery shells.

- Russia: The Russian government says the equipment is needed to support the counter-offensive.

- Russia: The EU is committed to the deal.

- Russia: The Russian cabinet says the equipment is needed to support the counter-offensive.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

- Russia: The EU is committed to the deal.

